original,transformed,Label
"He advised, ""You should always be punctual.""",He advised me that I should always be punctual.,Direct to Indirect Speech
My father advised me to always speak the truth.,"My father advised me, 'Always speak the truth.'",Indirect to Direct Speech
The damaged wall will be repaired next week.,They will repair the damaged wall next week.,Passive to Active
The government is investing in education and healthcare.,Education and healthcare are being invested in by the government.,Active to Passive
She doesn't believe in magic.,She disbelieves in magic.,Negative to Positive
He isn't very popular.,He is unpopular.,Negative to Positive
She has a kind heart.,She does not have a kind heart.,Positive to Negative
They enjoy gardening.,They do not enjoy gardening.,Positive to Negative
We often recycle plastic bottles.,Plastic bottles are often recycled by us.,Active to Passive
The problem is being addressed by the experts.,The experts are addressing the problem.,Passive to Active
She had read the book.,She had not read the book.,Positive to Negative
"She wondered, ""Where did I put my glasses?""",She wondered where she had put her glasses.,Direct to Indirect Speech
It's not a good idea to disturb him.,It's a bad idea to disturb him.,Negative to Positive
The team will win the championship.,The championship will be won by the team.,Active to Passive
I don't remember her name.,I have forgotten her name.,Negative to Positive
They urged us to think carefully.,"They urged us, 'Think carefully!'",Indirect to Direct Speech
"My little sister pleaded, ""Please let me watch cartoons.""",My little sister pleaded with me to let her watch cartoons.,Direct to Indirect Speech
"The news anchor reported, ""A rare celestial event will occur tonight.""",The news anchor reported that a rare celestial event would occur that night.,Direct to Indirect Speech
His efforts were appreciated by everyone.,Everyone appreciated his efforts.,Passive to Active
"The children shouted, ""We want to play!""",The children shouted that they wanted to play.,Direct to Indirect Speech
The error had been overlooked by the team.,The team had overlooked the error.,Passive to Active
"My grandmother said, ""I used to bake apple pies every Sunday.""",My grandmother said that she used to bake apple pies every Sunday.,Direct to Indirect Speech
"He offered, ""I'll do the dishes tonight.""",He offered that he would do the dishes that night.,Direct to Indirect Speech
New ideas are being formulated.,They are formulating new ideas.,Passive to Active
We are planning a surprise party.,A surprise party is being planned by us.,Active to Passive
You could join us.,You could not join us.,Positive to Negative
I am feeling adventurous.,I am not feeling adventurous.,Positive to Negative
"She warned him, ""Be careful what you wish for.""",She warned him to be careful what he wished for.,Direct to Indirect Speech
The chef is cooking dinner.,Dinner is being cooked by the chef.,Active to Passive
She agreed that the plan was risky.,"She agreed, 'The plan is risky.'",Indirect to Direct Speech
My neighbor suggested that we carpool to work.,"My neighbor suggested, 'Let's carpool to work.'",Indirect to Direct Speech
The door was locked.,The door was not locked.,Positive to Negative
He didn't perform well under pressure.,He performed poorly under pressure.,Negative to Positive
I have a busy schedule.,I do not have a busy schedule.,Positive to Negative
We should clean up.,We should not clean up.,Positive to Negative
He said that he had forgotten his umbrella.,"He said, 'I forgot my umbrella.'",Indirect to Direct Speech
The criminal was arrested by the police.,The police arrested the criminal.,Passive to Active
"He admitted, ""I made a mistake in my calculations.""",He admitted that he had made a mistake in his calculations.,Direct to Indirect Speech
The doctor will perform the surgery.,The surgery will be performed by the doctor.,Active to Passive
The audience cheered the victorious team.,The victorious team was cheered by the audience.,Active to Passive
The valuable painting has been restored.,Experts have restored the valuable painting.,Passive to Active
The water boils quickly.,The water does not boil quickly.,Positive to Negative
The heavy rain caused severe landslides in the region.,Severe landslides in the region were caused by the heavy rain.,Active to Passive
"He wondered, ""Who invented the internet?""",He wondered who had invented the internet.,Direct to Indirect Speech
"She asked curiously, ""Who invented the wheel?""",She asked curiously who had invented the wheel.,Direct to Indirect Speech
It's not worth arguing about.,It's pointless to argue about.,Negative to Positive
She has a strong will.,She does not have a strong will.,Positive to Negative
"My father often said, ""Actions speak louder than words.""",My father often said that actions speak louder than words.,Direct to Indirect Speech
"She explained, ""I missed my bus this morning.""",She explained that she had missed her bus that morning.,Direct to Indirect Speech
